exp_id,file_id,id,behaviour,position,time_ap,time_ap2,date,sex,ageclass,group,context_experiment,flee_direction,time_calibrated,behaviour2,behaviour3,flee_yn,flee_duration,bipedal_yn,tail_yn,approach_yn
EXP1,FILE1,ID1,a,2,00:00:28:24,28.024,03/02/2015,m,subadult,TCP,viper,NA,14.018,Start approaching,Approach model,no,NA,no,no,yes
EXP1,FILE1,ID1,h,1,00:00:39:17,39.017,03/02/2015,m,subadult,TCP,viper,NA,25.011,End approaching,NA,no,NA,no,no,yes
EXP10,FILE10,ID10,t,2,00:00:21:05,21.005,13/03/2023,m,adult,TCP,eagle,NA,3.003,Tail,Tail,no,NA,no,yes,yes
EXP10,FILE10,ID10,a,2,00:00:25:12,25.012,13/03/2023,m,adult,TCP,eagle,NA,7.01,Start approaching,Approach model,no,NA,no,yes,yes
EXP10,FILE10,ID10,h,1,00:00:28:18,28.018,13/03/2023,m,adult,TCP,eagle,NA,10.016,End approaching,NA,no,NA,no,yes,yes
EXP10,FILE10,ID10,t,1,00:00:30:03,30.003,13/03/2023,m,adult,TCP,eagle,NA,12.001,Tail,Tail,no,NA,no,yes,yes
EXP10,FILE10,ID10,u,1,00:00:36:24,36.024,13/03/2023,m,adult,TCP,eagle,NA,18.022,Start going up,Go up,no,NA,no,yes,yes
EXP10,FILE10,ID10,p,2,00:00:40:13,40.013,13/03/2023,m,adult,TCP,eagle,NA,22.011,End going up,NA,no,NA,no,yes,yes
EXP10,FILE10,ID10,t,2,00:00:40:22,40.022,13/03/2023,m,adult,TCP,eagle,NA,22.02,Tail,Tail,no,NA,no,yes,yes
EXP10,FILE10,ID10,d,2,00:00:43:13,43.013,13/03/2023,m,adult,TCP,eagle,NA,25.011,Start going down,Go down,no,NA,no,yes,yes
EXP10,FILE10,ID10,n,1,00:00:45:15,45.015,13/03/2023,m,adult,TCP,eagle,NA,27.013,End going down,NA,no,NA,no,yes,yes
EXP11,FILE11,ID7,b,2,00:00:26:06,26.006,27/03/2023,f,adult,TCP,eagle,NA,16.983,Bipedal,Bipedal,yes,6.007,yes,no,no
EXP11,FILE11,ID7,f,2,00:00:27:00,27,27/03/2023,f,adult,TCP,eagle,down,17.977,Start fleeing,Flee down,yes,6.007,yes,no,no
EXP11,FILE11,ID7,e,1,00:00:33:07,33.007,27/03/2023,f,adult,TCP,eagle,down,23.984,End fleeing,NA,yes,6.007,yes,no,no
EXP12,FILE12,ID8,f,1,00:00:36:20,36.02,02/04/2023,m,subadult,TCP,leopard,up,0.017,Start fleeing,Flee up,yes,5.992,no,yes,no
EXP12,FILE12,ID8,e,3,00:00:42:12,42.012,02/04/2023,m,subadult,TCP,leopard,up,6.009,End fleeing,NA,yes,5.992,no,yes,no
EXP12,FILE12,ID8,t,3,00:00:43:16,43.016,02/04/2023,m,subadult,TCP,leopard,NA,7.013,Tail,Tail,yes,5.992,no,yes,no
EXP12,FILE12,ID8,u,3,00:00:58:17,58.017,02/04/2023,m,subadult,TCP,leopard,NA,22.014,Start going up,Go up,yes,5.992,no,yes,no
EXP13,FILE13,ID11,f,2,00:00:43:11,43.011,04/05/2023,m,adult,TCP,leopard,up,3.011,Start fleeing,Flee up,yes,13.998,no,no,no
EXP13,FILE13,ID11,e,3,00:00:57:09,57.009,04/05/2023,m,adult,TCP,leopard,up,17.009,End fleeing,NA,yes,13.998,no,no,no
EXP14,FILE14,ID12,f,1,00:00:05:22,5.022,08/05/2023,m,subadult,TCP,eagle,up,0.996,Start fleeing,Flee up,yes,5.027,no,yes,no
EXP14,FILE14,ID12,e,3,00:00:10:49,10.049,08/05/2023,m,subadult,TCP,eagle,up,6.023,End fleeing,NA,yes,5.027,no,yes,no
EXP14,FILE14,ID12,t,3,00:00:13:23,13.023,08/05/2023,m,subadult,TCP,eagle,NA,8.997,Tail,Tail,yes,5.027,no,yes,no
EXP14,FILE14,ID12,y,3,00:00:13:38,13.038,08/05/2023,m,subadult,TCP,eagle,NA,9.012,Yawn,Yawn,yes,5.027,no,yes,no
EXP14,FILE14,ID12,d,3,00:00:22:45,22.045,08/05/2023,m,subadult,TCP,eagle,NA,18.019,Start going down,Go down,yes,5.027,no,yes,no
EXP14,FILE14,ID12,n,2,00:00:31:46,31.046,08/05/2023,m,subadult,TCP,eagle,NA,27.02,End going down,NA,yes,5.027,no,yes,no
EXP15,FILE15,ID13,f,1,00:04:33:35,273.035,12/05/2023,f,adult,TCP,viper,same,0.032,Start fleeing,Flee same,yes,0.979,yes,yes,no
EXP15,FILE15,ID13,e,1,00:04:34:14,274.014,12/05/2023,f,adult,TCP,viper,same,1.011,End fleeing,NA,yes,0.979,yes,yes,no
EXP15,FILE15,ID13,b,1,00:04:34:46,274.046,12/05/2023,f,adult,TCP,viper,NA,1.043,Bipedal,Bipedal,yes,0.979,yes,yes,no
EXP15,FILE15,ID13,u,1,00:04:51:18,291.018,12/05/2023,f,adult,TCP,viper,NA,18.015,Start going up,Go up,yes,0.979,yes,yes,no
EXP15,FILE15,ID13,p,2,00:04:52:33,292.033,12/05/2023,f,adult,TCP,viper,NA,19.03,End going up,NA,yes,0.979,yes,yes,no
EXP15,FILE15,ID13,t,2,00:04:54:20,294.02,12/05/2023,f,adult,TCP,viper,NA,21.017,Tail,Tail,yes,0.979,yes,yes,no
EXP16,FILE16,ID14,f,2,00:00:17:17,17.017,14/05/2023,f,adult,TCP,leopard,up,1.017,Start fleeing,Flee up,yes,2.996,no,no,no
EXP16,FILE16,ID14,e,3,00:00:20:13,20.013,14/05/2023,f,adult,TCP,leopard,up,4.013,End fleeing,NA,yes,2.996,no,no,no
EXP17,FILE17,ID12,f,1,00:00:13:49,13.049,28/05/2023,m,subadult,TCP,leopard,up,1.039,Start fleeing,Flee up,yes,3.952,no,no,no
EXP17,FILE17,ID12,e,3,00:00:17:01,17.001,28/05/2023,m,subadult,TCP,leopard,up,4.991,End fleeing,NA,yes,3.952,no,no,no
EXP18,FILE18,ID15,f,1,00:00:54:05,54.005,03/06/2023,m,subadult,TCP,viper,up,0.005,Start fleeing,Flee up,yes,0.999,yes,no,no
EXP18,FILE18,ID15,e,2,00:00:55:04,55.004,03/06/2023,m,subadult,TCP,viper,up,1.004,End fleeing,NA,yes,0.999,yes,no,no
EXP18,FILE18,ID15,d,2,00:00:59:17,59.017,03/06/2023,m,subadult,TCP,viper,NA,5.017,Start going down,Go down,yes,0.999,yes,no,no
EXP18,FILE18,ID15,n,1,00:01:01:06,61.006,03/06/2023,m,subadult,TCP,viper,NA,7.006,End going down,NA,yes,0.999,yes,no,no
EXP18,FILE18,ID15,b,1,00:01:05:16,65.016,03/06/2023,m,subadult,TCP,viper,NA,11.016,Bipedal,Bipedal,yes,0.999,yes,no,no
EXP18,FILE18,ID15,u,1,00:01:08:02,68.002,03/06/2023,m,subadult,TCP,viper,NA,14.002,Start going up,Go up,yes,0.999,yes,no,no
EXP18,FILE18,ID15,p,2,00:01:09:21,69.021,03/06/2023,m,subadult,TCP,viper,NA,15.021,End going up,NA,yes,0.999,yes,no,no
EXP19,FILE19,ID11,b,2,00:00:15:24,15.024,14/06/2023,m,adult,TCP,eagle,NA,1.008,Bipedal,Bipedal,yes,2.995,yes,no,no
EXP19,FILE19,ID11,f,2,00:00:16:07,16.007,14/06/2023,m,adult,TCP,eagle,up,1.991,Start fleeing,Flee up,yes,2.995,yes,no,no
EXP19,FILE19,ID11,e,3,00:00:19:02,19.002,14/06/2023,m,adult,TCP,eagle,up,4.986,End fleeing,NA,yes,2.995,yes,no,no
EXP2,FILE2,ID2,f,1,00:00:07:20,7.02,26/03/2022,f,adult,TCP,viper,up,3.01,Start fleeing,Flee up,yes,2.985,no,no,no
EXP2,FILE2,ID2,e,2,00:00:10:05,10.005,26/03/2022,f,adult,TCP,viper,up,5.995,End fleeing,NA,yes,2.985,no,no,no
EXP2,FILE2,ID2,u,2,00:00:17:03,17.003,26/03/2022,f,adult,TCP,viper,NA,12.993,Start going up,Go up,yes,2.985,no,no,no
EXP2,FILE2,ID2,p,2,00:00:18:11,18.011,26/03/2022,f,adult,TCP,viper,NA,14.001,End going up,NA,yes,2.985,no,no,no
EXP20,FILE20,ID10,f,1,00:00:27:17,27.017,19/06/2023,m,adult,TCP,leopard,up,0.017,Start fleeing,Flee up,yes,12.986,no,no,no
EXP20,FILE20,ID10,e,3,00:00:40:03,40.003,19/06/2023,m,adult,TCP,leopard,up,13.003,End fleeing,NA,yes,12.986,no,no,no
EXP21,FILE21,ID10,f,1,00:00:08:01,8.001,29/09/2023,m,adult,TCP,viper,same,0.001,Start fleeing,Flee same,yes,1.007,yes,yes,yes
EXP21,FILE21,ID10,e,1,00:00:09:08,9.008,29/09/2023,m,adult,TCP,viper,same,1.008,End fleeing,NA,yes,1.007,yes,yes,yes
EXP21,FILE21,ID10,t,1,00:00:11:23,11.023,29/09/2023,m,adult,TCP,viper,NA,3.023,Tail,Tail,yes,1.007,yes,yes,yes
EXP21,FILE21,ID10,b,1,00:00:17:10,17.01,29/09/2023,m,adult,TCP,viper,NA,9.01,Bipedal,Bipedal,yes,1.007,yes,yes,yes
EXP21,FILE21,ID10,t,1,00:00:21:01,21.001,29/09/2023,m,adult,TCP,viper,NA,13.001,Tail,Tail,yes,1.007,yes,yes,yes
EXP21,FILE21,ID10,a,1,00:00:30:13,30.013,29/09/2023,m,adult,TCP,viper,NA,22.013,Start approaching,Approach model,yes,1.007,yes,yes,yes
EXP21,FILE21,ID10,h,1,00:00:34:22,34.022,29/09/2023,m,adult,TCP,viper,NA,26.022,End approaching,NA,yes,1.007,yes,yes,yes
EXP22,FILE22,ID8,f,1,00:00:42:21,42.021,15/10/2023,m,subadult,TCP,viper,up,0.007,Start fleeing,Flee up,yes,0.997,no,yes,no
EXP22,FILE22,ID8,e,2,00:00:43:18,43.018,15/10/2023,m,subadult,TCP,viper,up,1.004,End fleeing,NA,yes,0.997,no,yes,no
EXP22,FILE22,ID8,t,2,00:01:06:14,66.014,15/10/2023,m,subadult,TCP,viper,NA,24,Tail,Tail,yes,0.997,no,yes,no
EXP23,FILE23,ID16,f,2,00:00:09:05,9.005,25/10/2023,m,subadult,TCP,viper,same,0.003,Start fleeing,Flee same,yes,1.998,no,yes,no
EXP23,FILE23,ID16,e,2,00:00:11:03,11.003,25/10/2023,m,subadult,TCP,viper,same,2.001,End fleeing,NA,yes,1.998,no,yes,no
EXP23,FILE23,ID16,t,2,00:00:12:19,12.019,25/10/2023,m,subadult,TCP,viper,NA,3.017,Tail,Tail,yes,1.998,no,yes,no
EXP24,FILE24,ID17,f,1,00:00:04:34,4.034,31/05/2022,f,adult,TMP,viper,same,1.013,Start fleeing,Flee same,yes,1.986,no,no,yes
EXP24,FILE24,ID17,e,1,00:00:06:20,6.02,31/05/2022,f,adult,TMP,viper,same,2.999,End fleeing,NA,yes,1.986,no,no,yes
EXP24,FILE24,ID17,a,1,00:00:17:04,17.004,31/05/2022,f,adult,TMP,viper,NA,13.983,Start approaching,Approach model,yes,1.986,no,no,yes
EXP24,FILE24,ID17,h,2,00:00:32:05,32.005,31/05/2022,f,adult,TMP,viper,NA,28.984,End approaching,NA,yes,1.986,no,no,yes
EXP25,FILE25,ID18,f,1,00:00:29:20,29.02,23/03/2023,m,adult,TCP,leopard,up,15.02,Start fleeing,Flee up,yes,7.99,no,no,no
EXP25,FILE25,ID18,e,2,00:00:37:10,37.01,23/03/2023,m,adult,TCP,leopard,up,23.01,End fleeing,NA,yes,7.99,no,no,no
EXP26,FILE26,ID18,f,2,00:00:36:10,36.01,31/05/2023,m,adult,TCP,eagle,down,4.992,Start fleeing,Flee down,yes,2.002,no,yes,no
EXP26,FILE26,ID18,e,1,00:00:38:12,38.012,31/05/2023,m,adult,TCP,eagle,down,6.994,End fleeing,NA,yes,2.002,no,yes,no
EXP26,FILE26,ID18,t,1,00:00:39:18,39.018,31/05/2023,m,adult,TCP,eagle,NA,8,Tail,Tail,yes,2.002,no,yes,no
EXP26,FILE26,ID18,y,1,00:00:45:20,45.02,31/05/2023,m,adult,TCP,eagle,NA,14.002,Yawn,Yawn,yes,2.002,no,yes,no
