exp_id,call_id,utt_id,rec_id,id,unit_type,begin_time_s,end_time_s,unit_rank,unit_interval,call_rank,call_interval,date,sex,ageclass,group,context_experiment,delta_time_s,agg_entropy_bits,avg_entropy_bits,low_freq_hz,high_freq_hz,bw_50_hz,bw_90_hz,center_freq_hz,center_time_rel,delta_freq_hz,dur_50_s,dur_90_s,freq_25_hz,freq_5_hz,freq_75_hz,freq_95_hz,peak_freq_hz,peak_time_relative,time_25_rel,time_5_rel,time_75_rel,time_95_rel,pfc_avg_slope_hzms,quality,begin_time_s_calibrated
EXP1,CALL1,UTT1,REC1,ID1,shrill,16.46316409,16.49309214,3,0.309843384,1,NA,03/02/2015,m,subadult,TCP,viper,0.0299,7.14,7.149,1471.3,3038.1,355.298,947.461,2239.453,0.25,1566.8,0.0058,0.0174,1975.671,1577.307,2330.969,2524.768,2314.819,0.25,0.25,0,0.5,0.75,0.927,1,0.44187892
EXP1,CALL1,UTT1,REC1,ID1,shrill,16.56351109,16.59696009,4,0.070418951,1,NA,03/02/2015,m,subadult,TCP,viper,0.0334,6.67,6.401,1509.5,2990.3,215.332,436.047,2126.404,0.4,1480.8,0.0058,0.0174,2056.421,1943.372,2271.753,2379.419,2110.254,0.6,0.4,0.2,0.6,0.8,-6.121,1,0.54222592
EXP1,CALL1,UTT1,REC1,ID1,shrill,18.18913404,18.20905153,7,1.106043647,1,NA,03/02/2015,m,subadult,TCP,viper,0.0199,5.623,5.729,1280.2,2675,69.983,193.799,2347.119,0.5,1394.8,0.0058,0.0116,2314.819,2239.453,2384.802,2433.252,2352.502,0.5,0.5,0,1,1,0,1,2.16784887
EXP1,CALL1,UTT1,REC1,ID1,shrill,16.02128517,16.0529737,1,NA,1,NA,03/02/2015,m,subadult,TCP,viper,0.0317,6.48,6.525,1433.1,2655.9,118.433,506.03,2255.603,0.4,1222.8,0.0058,0.0174,2191.003,1889.539,2309.436,2395.569,2250.22,0.6,0.4,0.2,0.6,0.8,-6.492,1,0
EXP1,CALL1,UTT1,REC1,ID1,shrill,17.06068322,17.08309039,6,0.08662341,1,NA,03/02/2015,m,subadult,TCP,viper,0.0224,7.244,7.208,1270.6,3133.6,344.531,1464.258,1981.055,0.6667,1863,0.0116,0.0116,1695.74,1469.641,2040.271,2933.899,1991.821,0.6667,0.3333,0.3333,1,1,-0.464,1,1.03939805
EXP1,CALL1,UTT1,REC1,ID1,shrill,19.80851372,19.8309209,9,1.493650545,1,NA,03/02/2015,m,subadult,TCP,viper,0.0224,7.167,7.001,1452.2,2531.7,231.482,753.662,2083.337,0.3333,1079.5,0.0058,0.0174,1937.988,1663.44,2169.47,2417.102,2099.487,0.3333,0.3333,0,0.6667,1,6.182,1,3.78722855
EXP1,CALL1,UTT1,REC1,ID1,shrill,18.28498695,18.31486318,8,0.075935419,1,NA,03/02/2015,m,subadult,TCP,viper,0.0299,5.906,6.006,1423.5,3124.1,86.133,301.465,2325.586,0.4,1700.6,0.0058,0.0174,2282.52,2147.937,2368.652,2449.402,2325.586,0.4,0.4,0.2,0.6,0.8,-2.04,1,2.26370178
EXP1,CALL1,UTT1,REC1,ID1,shrill,16.1198717,16.1533207,2,0.066898004,1,NA,03/02/2015,m,subadult,TCP,viper,0.0334,6.17,6.021,1719.7,2512.6,107.666,333.765,2137.17,0.6,792.9,0.0058,0.0116,2072.571,1932.605,2180.237,2266.37,2137.17,0.6,0.4,0.4,0.6,0.8,-9.088,1,0.09858653
EXP1,CALL1,UTT1,REC1,ID1,shrill,19.90747874,19.93984465,10,0.076557841,1,NA,03/02/2015,m,subadult,TCP,viper,0.0324,6.1,5.982,1480.8,2675,91.516,349.915,2341.736,0.5,1194.2,0.0058,0.0116,2293.286,2126.404,2384.802,2476.318,2336.353,0.5,0.25,0.25,0.5,0.75,-4.328,1,3.88619357
EXP1,CALL1,UTT1,REC1,ID1,shrill,16.94061081,16.97405981,5,0.343650715,1,NA,03/02/2015,m,subadult,TCP,viper,0.0334,7.441,7.187,1364.6,3148.1,376.831,1501.941,1981.055,0.4,1783.5,0.0116,0.0232,1744.189,1453.491,2121.021,2955.432,1981.055,0.2,0.2,0,0.6,0.8,4.266,1,0.91932564
