date,group,exp_id,id,sex,ageclass,context_experiment,call.name,combi.length,call.name.unique,combi.length.unique,begin_time_s_calibrated
03/02/2015,TCP,EXP1,ID1,m,subadult,viper,shrill,1,shrill,1,0
03/02/2015,TCP,EXP1,ID1,m,subadult,viper,shrill,1,shrill,1,6.73945616
03/02/2015,TCP,EXP1,ID1,m,subadult,viper,shrill,1,shrill,1,13.85311798
03/02/2015,TCP,EXP1,ID1,m,subadult,viper,shrill,1,shrill,1,19.57549269
03/02/2015,TCP,EXP1,ID1,m,subadult,viper,shrill,1,shrill,1,21.80749572
03/02/2015,TCP,EXP1,ID1,m,subadult,viper,shrill,1,shrill,1,29.51058512
26/03/2022,TCP,EXP2,ID2,f,adult,viper,shrill,1,shrill,1,0
26/03/2022,TCP,EXP2,ID2,f,adult,viper,shrill,1,shrill,1,2.297261911
26/03/2022,TCP,EXP2,ID2,f,adult,viper,shrill,1,shrill,1,9.510603751
26/03/2022,TCP,EXP2,ID2,f,adult,viper,shrill,1,shrill,1,15.25515303
29/05/2022,TMP,EXP3,ID3,m,subadult,leopard,shrill,1,shrill,1,0
29/05/2022,TMP,EXP3,ID3,m,subadult,leopard,shrill,1,shrill,1,2.60708193
29/05/2022,TMP,EXP3,ID3,m,subadult,leopard,shrill_hoo,2,shrill_hoo,2,6.95604794
29/05/2022,TMP,EXP3,ID3,m,subadult,leopard,shrill_hoo,2,shrill_hoo,2,11.70390149
25/06/2022,TMP,EXP4,ID4,f,adult,eagle,shrill,1,shrill,1,0
25/06/2022,TMP,EXP4,ID4,f,adult,eagle,shrill_hoo,2,shrill_hoo,2,4.19199428
25/06/2022,TMP,EXP4,ID4,f,adult,eagle,shrill_hoo,2,shrill_hoo,2,12.15329677
25/06/2022,TMP,EXP4,ID4,f,adult,eagle,shrill_hoo,2,shrill_hoo,2,15.36866832
25/06/2022,TMP,EXP4,ID4,f,adult,eagle,shrill_hoo,2,shrill_hoo,2,20.04282378
06/07/2022,TMP,EXP5,ID5,f,subadult,viper,shrill,1,shrill,1,0
06/07/2022,TMP,EXP5,ID5,f,subadult,viper,shrill,1,shrill,1,10.10634432
06/07/2022,TMP,EXP5,ID5,f,subadult,viper,shrill,1,shrill,1,16.98381411
06/07/2022,TMP,EXP5,ID5,f,subadult,viper,shrill,1,shrill,1,23.41835006
12/02/2023,TCP,EXP6,ID6,m,subadult,eagle,shrill,1,shrill,1,0
12/02/2023,TCP,EXP6,ID6,m,subadult,eagle,shrill_hoo,2,shrill_hoo,2,13.80221101
12/02/2023,TCP,EXP6,ID6,m,subadult,eagle,shrill,1,shrill,1,18.81318601
17/02/2023,TCP,EXP7,ID7,f,adult,leopard,shrill,1,shrill,1,0
17/02/2023,TCP,EXP7,ID7,f,adult,leopard,shrill_hoo,2,shrill_hoo,2,4.536877741
17/02/2023,TCP,EXP7,ID7,f,adult,leopard,shrill_hoo,2,shrill_hoo,2,12.58879048
17/02/2023,TCP,EXP7,ID7,f,adult,leopard,shrill_hoo,2,shrill_hoo,2,16.24096015
17/02/2023,TCP,EXP7,ID7,f,adult,leopard,shrill_hoo,2,shrill_hoo,2,21.7787907
